Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Patrick Wisdom,CHC,75,174,8,16,23,5,0.057471264,0.339080459,0.221518988,0.206521739,0.170886075,0.236994219,0.392405063,0.2713700009219219,0.288,74.86273072667855,0.6934931427240372,-4.53683130696943,-3.18436288833618,-0.198997618960358,Patrick Wisdom,13602,621550
Niko Kavadas,LAA,30,106,4,11,8,1,0.103773584,0.386792452,0.150537635,0.270833333,0.182795698,0.283018867,0.333333333,0.2776129853050664,0.292,77.29737140970066,-0.587422654032707,-3.34093873320587,-2.1981936097145,-0.207130376288236,Niko Kavadas,29782,694359
David Hensley,MIA,23,58,1,9,4,1,0.103448275,0.293103448,0.076923077,0.294117647,0.211538461,0.293103448,0.288461538,0.2650730681830439,0.218,65.45689084187177,0.2337568029761314,-2.16204398235337,-1.80557692050933,-0.210290282966133,David Hensley,25111,682073
Sam Haggerty,SEA,8,16,0,1,1,1,0.0625,0.25,0.0,0.09090909,0.066666666,0.125,0.066666666,0.0981775894761085,0.195,-40.769748728871,0.1842151582241058,-2.39290652762456,-0.178324967622756,-0.21046587394443,Sam Haggerty,18054,664059
Matt Carpenter,STL,59,157,4,15,15,0,0.095541401,0.324840764,0.138686131,0.333333333,0.233576642,0.314102564,0.372262773,0.3030310074488322,0.287,95.09502290041354,-2.20004411041736,-3.12091325392962,-4.17367319762706,-0.213405817824609,Matt Carpenter,8090,572761
Donovan Walton,SFG,9,25,1,3,2,0,0.08,0.28,0.136363636,0.142857142,0.136363636,0.24,0.272727272,0.2364594388008117,0.26,50.78698845442611,-0.0402167119318619,-1.5114489582522,-1.43213569372892,-0.21802544843525,Donovan Walton,19314,622268
Grant McCray,SFG,37,130,5,13,10,5,0.046153846,0.43076923,0.177419355,0.317460317,0.201612903,0.238461538,0.379032258,0.2657819605790651,0.252,70.52305555714207,1.7504274174571035,-2.83191036459996,-3.67253410816192,-0.224661542773726,Grant McCray,25690,687529
Zach Dezenzo,HOU,19,65,2,5,8,0,0.046153846,0.338461538,0.129032258,0.342105263,0.241935483,0.276923076,0.370967741,0.2826819144762479,0.298,84.18008101007965,-0.00557371228933334,-1.1821584735988,-3.16218090057373,-0.224890381289156,Zach Dezenzo,31562,701305
Ali Sánchez,MIA,31,96,0,5,4,2,0.041666666,0.25,0.023809524,0.229508196,0.166666666,0.211111111,0.19047619,0.1840681744946374,0.213,10.935044816049109,-0.173369761556386,-10.3978060047124,5.021512150764465,-0.225083264356154,Ali Sanchez,18551,645305
Kameron Misner,TBR,8,15,0,0,0,0,0.0,0.666666666,0.0,0.2,0.066666666,0.066666666,0.066666666,0.0587807138760884,0.092,-70.811614915818,-0.00924429623410105,-2.9409087760585,0.201628141105175,-0.231264424872832,Kameron Misner,26374,670224
Gabriel Arias,CLE,53,161,3,15,15,5,0.03726708,0.329192546,0.130718954,0.31632653,0.222222222,0.254658385,0.352941176,0.2633519120838331,0.274,70.28110656271517,-0.992734685540199,-6.46748249054039,-1.1391517817974,-0.231302328848855,Gabriel Arias,22563,672356
Nick Loftin,KCR,57,171,1,15,14,1,0.111111111,0.140350877,0.047297297,0.216,0.189189189,0.282352941,0.236486486,0.2421201043269213,0.283,49.6342469586841,0.1228168681263923,-9.73173885166514,1.7534920945763588,-0.235253449355328,Nick Loftin,27630,679845
Seth Brown,OAK,124,400,14,32,44,4,0.0625,0.28,0.147849463,0.291497975,0.231182795,0.2825,0.379032258,0.2891366638243198,0.294,91.145522206631,-0.659635011106729,-4.71218659697822,-10.9030752182006,-0.235581858986701,Seth Brown,18171,664913
